Car_ID,Brand,Model,Year,Color,Engine_Type,Transmission,Price,Quantity_In_Stock,Status,Price_Segment
C0001,Toyota,Camry,2023,Red,Petrol,Automatic,80338,6,Available,Luxury
C0002,Tesla,Model 3,2019,Red,Electric,Manual,26438,16,Available,Entry-level
C0003,Nissan,Qashqai,2018,Blue,Electric,Automatic,50158,20,Available,Premium
C0004,Hyundai,Sonata,2025,Red,Hybrid,Automatic,33026,3,Available,Executive
C0005,Toyota,RAV4,2016,White,Hybrid,Manual,79673,9,Reserved,Luxury
C0006,Hyundai,Elantra,2019,White,Diesel,Automatic,94225,17,Sold,Luxury
C0007,Mercedes,C-Class,2020,Gray,Petrol,Manual,21344,7,Reserved,Entry-level
C0008,Tesla,Model 3,2021,Gray,Hybrid,Manual,48814,14,Reserved,Executive
C0009,BMW,3 Series,2017,Blue,Electric,Manual,34430,14,Sold,Executive
C0010,Tesla,Model S,2015,Red,Hybrid,Manual,42137,0,Sold,
C0011,Tesla,Model 3,2017,Silver,Electric,Automatic,17337,3,Available,Entry-level
C0012,Tesla,Model S,2016,Gray,Electric,Manual,78179,13,Reserved,Luxury
C0013,Hyundai,Sonata,2018,Blue,Diesel,Manual,92616,2,Sold,Luxury
C0014,Toyota,RAV4,2024,Silver,Hybrid,Automatic,97512,18,Reserved,Luxury
C0015,Nissan,Altima,2019,Blue,Diesel,Manual,89268,17,Reserved,Luxury
C0016,BMW,3 Series,2024,Black,Petrol,Manual,36006,10,Reserved,Executive
C0017,Nissan,Qashqai,2018,Silver,Petrol,Automatic,30586,2,Reserved,Executive
C0018,Nissan,Qashqai,2016,Black,Petrol,Manual,71105,15,Reserved,Luxury
C0019,Tesla,Model S,2019,White,Diesel,Manual,24426,2,Sold,Entry-level
C0020,Toyota,Camry,2022,Blue,Electric,Manual,68271,2,Sold,Premium
C0021,BMW,3 Series,2020,Red,Diesel,Automatic,60882,19,Available,Premium
C0022,Tesla,Model X,2018,Red,Diesel,Automatic,40366,18,Sold,Executive
C0023,Tesla,Model 3,2024,Silver,Diesel,Automatic,51077,20,Reserved,Premium
C0024,Mercedes,E-Class,2019,Blue,Petrol,Manual,33547,8,Sold,Executive
C0025,Nissan,Altima,2016,Silver,Petrol,Manual,48205,2,Available,Executive
C0026,BMW,3 Series,2023,Black,Electric,Automatic,94847,5,Sold,Luxury
C0027,Mercedes,E-Class,2020,Gray,Hybrid,Manual,30021,8,Available,Executive
C0028,Kia,Sportage,2016,Blue,Hybrid,Manual,64477,10,Sold,Premium
C0029,Tesla,Model 3,2024,Silver,Hybrid,Manual,87084,11,Sold,Luxury
C0030,Hyundai,Tucson,2022,Gray,Diesel,Manual,30893,0,Available,
C0031,Mercedes,E-Class,2016,Silver,Petrol,Automatic,66366,5,Reserved,Premium
C0032,Tesla,Model X,2018,Blue,Petrol,Automatic,65577,10,Reserved,Premium
C0033,Tesla,Model 3,2020,White,Petrol,Manual,21841,10,Sold,Entry-level
C0034,Toyota,Camry,2023,Blue,Petrol,Automatic,89206,18,Available,Luxury
C0035,Kia,Cerato,2023,Blue,Hybrid,Manual,65267,5,Sold,Premium
C0036,Toyota,Camry,2017,Red,Electric,Automatic,22685,13,Available,Entry-level
C0037,Kia,Sportage,2024,Red,Diesel,Manual,18249,15,Sold,Entry-level
C0038,Nissan,Altima,2017,White,Electric,Automatic,17943,17,Available,Entry-level
C0039,Kia,Cerato,2022,Gray,Hybrid,Automatic,79781,19,Available,Luxury
C0040,Tesla,Model X,2016,White,Diesel,Manual,18775,15,Sold,Entry-level
C0041,Nissan,Qashqai,2015,Blue,Hybrid,Manual,48152,15,Sold,Executive
C0042,Mercedes,E-Class,2018,Gray,Hybrid,Automatic,52741,19,Reserved,Premium
C0043,Hyundai,Sonata,2018,Silver,Diesel,Automatic,24981,17,Reserved,Entry-level
C0044,BMW,3 Series,2019,White,Diesel,Automatic,34474,8,Sold,Executive
C0045,BMW,5 Series,2020,White,Electric,Manual,85822,0,Reserved,
C0046,BMW,X5,2022,White,Hybrid,Automatic,99941,11,Sold,Luxury
C0047,Tesla,Model S,2019,White,Electric,Manual,37412,7,Available,Executive
C0048,Mercedes,GLA,2022,Black,Petrol,Automatic,72301,17,Available,Luxury
C0049,Tesla,Model S,2020,Red,Diesel,Automatic,58158,5,Sold,Premium
C0050,Mercedes,C-Class,2024,Red,Diesel,Manual,88725,16,Reserved,Luxury
C0051,Kia,Sportage,2020,Gray,Diesel,Automatic,29038,5,Sold,Entry-level
C0052,Kia,Sportage,2022,Gray,Diesel,Manual,26076,20,Available,Entry-level
C0053,Tesla,Model X,2022,Black,Hybrid,Manual,33622,13,Sold,Executive
C0054,Toyota,Camry,2018,Silver,Hybrid,Manual,30129,20,Reserved,Executive
C0055,BMW,X5,2015,Blue,Diesel,Automatic,77348,16,Available,Luxury
C0056,Nissan,Sunny,2021,Gray,Diesel,Manual,65877,8,Available,Premium
C0057,Nissan,Altima,2018,Black,Diesel,Manual,61473,18,Available,Premium
C0058,Tesla,Model S,2023,Black,Electric,Automatic,94755,12,Available,Luxury
C0059,Kia,Sportage,2020,Gray,Petrol,Manual,91552,4,Sold,Luxury
C0060,Toyota,Corolla,2023,Silver,Diesel,Manual,99129,1,Reserved,Luxury
C0061,Nissan,Sunny,2019,Black,Petrol,Manual,70325,19,Available,Luxury
C0062,Tesla,Model X,2017,Black,Electric,Manual,39427,13,Available,Executive
C0063,Kia,Seltos,2019,Red,Diesel,Manual,83222,16,Sold,Luxury
C0064,Hyundai,Tucson,2019,Silver,Diesel,Automatic,37129,7,Reserved,Executive
C0065,Nissan,Altima,2019,Gray,Electric,Manual,46081,2,Available,Executive
C0066,Mercedes,E-Class,2017,White,Hybrid,Manual,94252,11,Reserved,Luxury
C0067,Hyundai,Elantra,2016,Silver,Diesel,Manual,16671,18,Reserved,Entry-level
C0068,Hyundai,Tucson,2018,Black,Diesel,Automatic,47911,5,Sold,Executive
C0069,Hyundai,Sonata,2023,Blue,Hybrid,Automatic,31313,19,Available,Executive
C0070,Hyundai,Sonata,2016,Black,Hybrid,Automatic,37639,19,Reserved,Executive
C0071,Kia,Seltos,2017,Black,Electric,Automatic,53636,4,Available,Premium
C0072,Mercedes,GLA,2016,Red,Electric,Manual,90776,5,Available,Luxury
C0073,Kia,Sportage,2015,Red,Diesel,Manual,81463,15,Reserved,Luxury
C0074,Hyundai,Tucson,2017,Gray,Electric,Automatic,92662,5,Available,Luxury
C0075,Kia,Seltos,2020,Black,Petrol,Automatic,87777,9,Reserved,Luxury
C0076,Nissan,Qashqai,2020,Silver,Hybrid,Manual,97778,15,Available,Luxury
C0077,Toyota,RAV4,2018,Black,Electric,Automatic,37286,7,Sold,Executive
C0078,BMW,3 Series,2020,Blue,Hybrid,Manual,87242,2,Available,Luxury
C0079,Toyota,Corolla,2019,Blue,Diesel,Automatic,86983,1,Available,Luxury
C0080,BMW,X5,2020,White,Petrol,Automatic,97807,13,Sold,Luxury
C0081,Tesla,Model 3,2016,Black,Petrol,Manual,37385,12,Reserved,Executive
C0082,Tesla,Model S,2015,Gray,Diesel,Automatic,71328,16,Sold,Luxury
C0083,Hyundai,Elantra,2020,Black,Electric,Manual,94839,16,Available,Luxury
C0084,BMW,3 Series,2024,White,Petrol,Manual,45428,18,Available,Executive
C0085,Mercedes,E-Class,2020,White,Diesel,Manual,92631,18,Reserved,Luxury
C0086,BMW,5 Series,2019,Silver,Hybrid,Automatic,73511,14,Available,Luxury
C0087,Mercedes,GLA,2025,Gray,Hybrid,Manual,68728,10,Available,Premium
C0088,Kia,Cerato,2024,White,Hybrid,Automatic,92417,0,Sold,
C0089,Nissan,Qashqai,2018,Red,Electric,Manual,33212,14,Reserved,Executive
C0090,BMW,5 Series,2019,Silver,Electric,Automatic,17920,10,Reserved,Entry-level
C0091,Hyundai,Tucson,2018,Black,Electric,Manual,92700,8,Reserved,Luxury
C0092,Mercedes,GLA,2023,White,Petrol,Automatic,78375,10,Available,Luxury
C0093,Hyundai,Tucson,2019,Blue,Electric,Manual,86289,14,Sold,Luxury
C0094,Tesla,Model 3,2023,Silver,Hybrid,Automatic,35633,12,Sold,Executive
C0095,Toyota,Camry,2023,White,Hybrid,Manual,74054,3,Reserved,Luxury
C0096,Nissan,Qashqai,2019,White,Petrol,Automatic,61661,1,Reserved,Premium
C0097,Hyundai,Sonata,2025,White,Diesel,Automatic,56746,4,Sold,Premium
C0098,Tesla,Model X,2017,Blue,Electric,Automatic,99875,17,Reserved,Luxury
C0099,Hyundai,Tucson,2018,Gray,Diesel,Automatic,38984,0,Reserved,
C0100,Nissan,Sunny,2018,Blue,Petrol,Manual,74108,10,Reserved,Luxury
C0101,Mercedes,GLA,2015,Silver,Hybrid,Manual,75530,11,Sold,Luxury
C0102,Toyota,Camry,2018,Red,Hybrid,Automatic,95036,10,Sold,Luxury
C0103,Nissan,Altima,2019,Red,Hybrid,Manual,33878,5,Available,Executive
C0104,Mercedes,C-Class,2020,White,Petrol,Automatic,88830,3,Reserved,Luxury
C0105,Kia,Sportage,2022,White,Diesel,Manual,54845,12,Sold,Premium
C0106,BMW,5 Series,2023,White,Petrol,Automatic,57449,18,Reserved,Premium
C0107,Hyundai,Tucson,2021,Gray,Electric,Automatic,46741,14,Sold,Executive
C0108,BMW,3 Series,2019,Gray,Electric,Automatic,68415,14,Sold,Premium
C0109,Toyota,RAV4,2022,White,Electric,Manual,97205,0,Reserved,
C0110,Nissan,Sunny,2018,Gray,Petrol,Manual,40546,2,Available,Executive
